timepoint,Series,Relative Abundance,Relative Abundance (Min-Max)
t08,Flavobacterium,6.5125,0.34583901773533426
t09,Flavobacterium,4.2,0.21964529331514326
t10,Flavobacterium,12.6375,0.680081855388813
t11,Flavobacterium,16.3875,0.8847203274215553
t12,Flavobacterium,12.716666666666667,0.6844020009095043
t13,Flavobacterium,9.514285714285714,0.5096472422529721
t14,Flavobacterium,7.328571428571428,0.3903722471253167
t15,Flavobacterium,11.8875,0.6391541609822646
t16,Flavobacterium,10.25,0.5497953615279673
t17,Flavobacterium,15.9875,0.8628922237380627
t18,Flavobacterium,14.171428571428573,0.7637887351393491
t19,Flavobacterium,9.7875,0.524556616643929
t20,Flavobacterium,9.274999999999999,0.4965893587994542
t21,Flavobacterium,11.725,0.6302864938608458
t22,Flavobacterium,18.5,1.0
t23,Flavobacterium,14.362499999999999,0.7742155525238744
t24,Flavobacterium,9.6875,0.5190995907230559
t25,Flavobacterium,12.514285714285714,0.6733580198791659
t26,Flavobacterium,15.025,0.810368349249659
t27,Flavobacterium,10.65,0.5716234652114598
t28,Flavobacterium,7.275,0.38744884038199184
t01,Kordiimonas,1.325,0.0
t02,Kordiimonas,2.3375,0.2682119205298013
t03,Kordiimonas,2.914285714285714,0.4210028382213812
t04,Kordiimonas,2.9125,0.4205298013245033
t05,Kordiimonas,2.175,0.22516556291390724
t06,Kordiimonas,3.8285714285714287,0.663197729422895
t07,Kordiimonas,2.8428571428571425,0.4020813623462629
t08,Kordiimonas,4.3125,0.7913907284768211
t09,Kordiimonas,3.942857142857143,0.6934720908230841
t10,Kordiimonas,3.1125,0.47350993377483436
t11,Kordiimonas,2.3125,0.26158940397350994
t12,Kordiimonas,2.716666666666667,0.3686534216335541
t13,Kordiimonas,4.314285714285714,0.791863765373699
t14,Kordiimonas,4.3428571428571425,0.7994323557237463
t15,Kordiimonas,2.975,0.4370860927152318
t16,Kordiimonas,3.2125,0.49999999999999994
t17,Kordiimonas,3.475,0.5695364238410596
t18,Kordiimonas,3.5142857142857147,0.5799432355723748
t19,Kordiimonas,3.5250000000000004,0.5827814569536424
t20,Kordiimonas,4.45,0.8278145695364237
t21,Kordiimonas,3.7375,0.639072847682119
t22,Kordiimonas,2.8875,0.4139072847682119
t23,Kordiimonas,3.45,0.5629139072847682
t24,Kordiimonas,3.575,0.5960264900662251
t25,Kordiimonas,5.1000000000000005,1.0
t26,Kordiimonas,3.4875000000000003,0.5728476821192053
t27,Kordiimonas,3.1125,0.47350993377483436
t28,Kordiimonas,4.075,0.7284768211920529
