filename,plate.pos,arb.sort,sampID,sample.type,timepoint,date,time,extractplate,rnaprepplate,Unmapped,Multimapping,No Feature,Ambiguous Unstranded,Ambiguous Forward,plate_row,plate_col,Total Reads,Unmapped Over Mapped
A2450525897_n01_LICRNA01_F04,F04,30,LIC042,plant,t04,11/17/23,8:00,LIC_01,LICRNA_01,3844291.0,503206.0,83999.0,201894.0,22649.0,F,4,2181927.0,1.7618788346264564
A2450525897_n01_LICRNA01_G04,G04,31,LIC043,plant,t04,11/17/23,8:00,LIC_01,LICRNA_01,2241674.0,418302.0,98576.0,227474.0,26788.0,G,4,2426520.0,0.923822593673244
A2450525897_n01_LICRNA01_H04,H04,32,LIC044,plant,t04,11/17/23,8:00,LIC_01,LICRNA_01,4890090.0,770605.0,325768.0,528563.0,69064.0,H,4,5994912.0,0.8157067192979647
A2450525897_n01_LICRNA01_A05,A05,33,LIC049,plant,t05,11/21/23,8:00,LIC_01,LICRNA_01,1745314.0,439253.0,98638.0,190909.0,21221.0,A,5,2356898.0,0.7405131660343384
A2450525897_n01_LICRNA01_B05,B05,34,LIC050,plant,t05,11/21/23,8:00,LIC_01,LICRNA_01,1247492.0,302916.0,130149.0,222025.0,24907.0,B,5,2730883.0,0.4568090247733059
A2450525897_n01_LICRNA01_C05,C05,35,LIC051,plant,t05,11/21/23,8:00,LIC_01,LICRNA_01,1002663.0,221243.0,75035.0,176932.0,17870.0,C,5,2055935.0,0.48769197469764364
A2450525897_n01_LICRNA01_D05,D05,36,LIC052,plant,t05,11/21/23,8:00,LIC_01,LICRNA_01,2545919.0,280619.0,107738.0,220814.0,25588.0,D,5,2491475.0,1.0218521157145868
A2450525897_n01_LICRNA01_E05,E05,37,LIC053,plant,t05,11/21/23,8:00,LIC_01,LICRNA_01,2604790.0,366212.0,165105.0,347542.0,37671.0,E,5,4221105.0,0.6170872318978088
A2450525897_n01_LICRNA01_F05,F05,38,LIC054,plant,t05,11/21/23,8:00,LIC_01,LICRNA_01,2221325.0,288032.0,86585.0,189198.0,21680.0,F,5,2393750.0,0.9279686684073107
A2450525897_n01_LICRNA01_G05,G05,39,LIC055,plant,t05,11/21/23,8:00,LIC_01,LICRNA_01,1419548.0,141922.0,47573.0,90533.0,9162.0,G,5,1059642.0,1.339648673797377
A2450525897_n01_LICRNA01_H05,H05,40,LIC056,plant,t05,11/21/23,8:00,LIC_01,LICRNA_01,3916640.0,381828.0,194661.0,332215.0,41648.0,H,5,3945532.0,0.9926772866117928
A2450525897_n01_LICRNA01_A06,A06,41,LIC061,plant,t06,11/28/23,8:00,LIC_01,LICRNA_01,859626.0,79636.0,10328.0,14578.0,2186.0,A,6,170967.0,5.028022951797715
A2450525897_n01_LICRNA01_B06,B06,42,LIC062,plant,t06,11/28/23,8:00,LIC_01,LICRNA_01,5357625.0,756484.0,407232.0,671622.0,80542.0,B,6,7713952.0,0.6945369896001427
A2450525897_n01_LICRNA01_C06,C06,43,LIC063,plant,t06,11/28/23,8:00,LIC_01,LICRNA_01,2333942.0,415461.0,150843.0,311759.0,35906.0,C,6,3752417.0,0.6219836441418958
A2450525897_n01_LICRNA01_D06,D06,44,LIC064,plant,t06,11/28/23,8:00,LIC_01,LICRNA_01,6273459.0,584920.0,423938.0,640948.0,74703.0,D,6,7076203.0,0.8865572398078461
A2450525897_n01_LICRNA01_E06,E06,45,LIC065,plant,t06,11/28/23,8:00,LIC_01,LICRNA_01,5068855.0,456926.0,252283.0,424862.0,50397.0,E,6,4695827.0,1.079438190546628
A2450525897_n01_LICRNA01_F06,F06,46,LIC066,plant,t06,11/28/23,8:00,LIC_01,LICRNA_01,4579055.0,780856.0,331588.0,745568.0,79267.0,F,6,9046843.0,0.5061494932541661
A2450525897_n01_LICRNA01_G06,G06,47,LIC067,plant,t06,11/28/23,8:00,LIC_01,LICRNA_01,3141383.0,307853.0,163245.0,250490.0,30449.0,G,6,2806251.0,1.1194233872878798
A2450525897_n01_LICRNA01_H06,H06,48,LIC068,plant,t06,11/28/23,8:00,LIC_01,LICRNA_01,4328244.0,499905.0,321262.0,442619.0,51564.0,H,6,5075118.0,0.8528361311007941
A2450525897_n01_LICRNA01_A07,A07,49,LIC073,plant,t07,12/1/23,8:00,LIC_01,LICRNA_01,6634274.0,712372.0,248432.0,420309.0,47964.0,A,7,4668234.0,1.4211528385252326
A2450525897_n01_LICRNA01_B07,B07,50,LIC074,plant,t07,12/1/23,8:00,LIC_01,LICRNA_01,2614702.0,257876.0,109149.0,179923.0,21314.0,B,7,2024638.0,1.291441729336306
A2450525897_n01_LICRNA01_C07,C07,51,LIC075,plant,t07,12/1/23,8:00,LIC_01,LICRNA_01,8755597.0,732831.0,522801.0,767755.0,91144.0,C,7,8588710.0,1.0194309739180856
A2450525897_n01_LICRNA01_D07,D07,52,LIC076,plant,t07,12/1/23,8:00,LIC_01,LICRNA_01,6028091.0,522304.0,281095.0,447846.0,50473.0,D,7,4707820.0,1.2804421154589598
A2450525897_n01_LICRNA01_E07,E07,53,LIC077,plant,t07,12/1/23,8:00,LIC_01,LICRNA_01,6402875.0,472646.0,268753.0,441669.0,51698.0,E,7,4730073.0,1.353652470057016
A2450525897_n01_LICRNA01_F07,F07,54,LIC078,plant,t07,12/1/23,8:00,LIC_01,LICRNA_01,4607098.0,474188.0,255896.0,380439.0,46777.0,F,7,4264994.0,1.0802120706383174
A2450525897_n01_LICRNA01_G07,G07,55,LIC079,plant,t07,12/1/23,8:00,LIC_01,LICRNA_01,588213.0,52035.0,15616.0,23606.0,2749.0,G,7,260131.0,2.2612183861208393
A2450525897_n01_LICRNA01_H07,H07,56,LIC080,plant,t07,12/1/23,8:00,LIC_01,LICRNA_01,8255436.0,692294.0,340918.0,475718.0,62038.0,H,7,5230341.0,1.5783743354400794
A2450525897_n01_LICRNA01_A08,A08,57,LIC097,plant,t09,12/8/23,8:00,LIC_02,LICRNA_01,216804.0,13963.0,1003.0,1338.0,360.0,A,8,15681.0,13.82590396020662
A2450525897_n01_LICRNA01_B08,B08,58,LIC098,plant,t09,12/8/23,8:00,LIC_02,LICRNA_01,6974921.0,987290.0,455277.0,604867.0,77202.0,B,8,7490162.0,0.9312109671326201
A2450525897_n01_LICRNA01_C08,C08,59,LIC099,plant,t09,12/8/23,8:00,LIC_02,LICRNA_01,4807442.0,565051.0,350593.0,511622.0,64561.0,C,8,6028600.0,0.7974392064492586
A2450525897_n01_LICRNA01_D08,D08,60,LIC100,plant,t09,12/8/23,8:00,LIC_02,LICRNA_01,3962349.0,466779.0,282093.0,363291.0,46930.0,D,8,4091569.0,0.9684179834190747
A2450525897_n01_LICRNA01_E08,E08,61,LIC101,plant,t09,12/8/23,8:00,LIC_02,LICRNA_01,2881216.0,387832.0,202337.0,266247.0,33628.0,E,8,3060846.0,0.9413136106814913
A2450525897_n01_LICRNA01_F08,F08,62,LIC102,plant,t09,12/8/23,8:00,LIC_02,LICRNA_01,5416335.0,757801.0,361080.0,476060.0,62548.0,F,8,5478249.0,0.9886982136080342
A2450525897_n01_LICRNA01_G08,G08,63,LIC103,plant,t09,12/8/23,8:00,LIC_02,LICRNA_01,6046971.0,692787.0,353941.0,582575.0,73845.0,G,8,6947250.0,0.870412177480298
A2450525897_n01_LICRNA01_H08,H08,64,LIC104,plant,t09,12/8/23,8:00,LIC_02,LICRNA_01,6246236.0,620384.0,339289.0,451779.0,56131.0,H,8,5062165.0,1.2339060461284845
A2450525897_n01_LICRNA01_A09,A09,65,LIC109,plant,t10,12/12/23,8:00,LIC_02,LICRNA_01,1934779.0,326479.0,159783.0,248213.0,30136.0,A,9,3043829.0,0.6356398470479123
A2450525897_n01_LICRNA01_B09,B09,66,LIC110,plant,t10,12/12/23,8:00,LIC_02,LICRNA_01,2451014.0,431572.0,183094.0,285893.0,36246.0,B,9,3417706.0,0.7171517971411233
A2450525897_n01_LICRNA01_C09,C09,67,LIC111,plant,t10,12/12/23,8:00,LIC_02,LICRNA_01,4372037.0,860061.0,361762.0,686872.0,82284.0,C,9,8495733.0,0.5146156311644916
A2450525897_n01_LICRNA01_D09,D09,68,LIC112,plant,t10,12/12/23,8:00,LIC_02,LICRNA_01,5011155.0,548172.0,327854.0,517549.0,61828.0,D,9,6274411.0,0.7986654046092933
A2450525897_n01_LICRNA01_E09,E09,69,LIC113,plant,t10,12/12/23,8:00,LIC_02,LICRNA_01,2475929.0,505814.0,199178.0,262516.0,32083.0,E,9,3223569.0,0.7680707315401035
A2450525897_n01_LICRNA01_F09,F09,70,LIC114,plant,t10,12/12/23,8:00,LIC_02,LICRNA_01,1079511.0,366114.0,100792.0,199286.0,22858.0,F,9,2466864.0,0.4376045862276964
A2450525897_n01_LICRNA01_G09,G09,71,LIC115,plant,t10,12/12/23,8:00,LIC_02,LICRNA_01,3220773.0,673959.0,192655.0,301825.0,36106.0,G,9,3682187.0,0.8746902316476594
A2450525897_n01_LICRNA01_H09,H09,72,LIC116,plant,t10,12/12/23,8:00,LIC_02,LICRNA_01,2192198.0,425099.0,147324.0,284515.0,34997.0,H,9,3773526.0,0.5809415384974159
A2450525897_n01_LICRNA01_A10,A10,73,LIC121,plant,t11,12/15/23,8:00,LIC_02,LICRNA_01,3888067.0,511228.0,197579.0,400203.0,51166.0,A,10,5087497.0,0.7642396644165097
A2450525897_n01_LICRNA01_B10,B10,74,LIC122,plant,t11,12/15/23,8:00,LIC_02,LICRNA_01,2195163.0,284108.0,127922.0,166807.0,20711.0,B,10,1870086.0,1.1738299735947972
A2450525897_n01_LICRNA01_C10,C10,75,LIC123,plant,t11,12/15/23,8:00,LIC_02,LICRNA_01,852463.0,288703.0,108680.0,200027.0,22665.0,C,10,2505062.0,0.34029616831838894
A2450525897_n01_LICRNA01_D10,D10,76,LIC124,plant,t11,12/15/23,8:00,LIC_02,LICRNA_01,4956041.0,576496.0,244556.0,497667.0,56608.0,D,10,5671679.0,0.8738225488431204
A2450525897_n01_LICRNA01_E10,E10,77,LIC125,plant,t11,12/15/23,8:00,LIC_02,LICRNA_01,1148030.0,175393.0,93631.0,141434.0,17269.0,E,10,1664925.0,0.6895385678033545
A2450525897_n01_LICRNA01_F10,F10,78,LIC126,plant,t11,12/15/23,8:00,LIC_02,LICRNA_01,1988907.0,313884.0,161241.0,268582.0,33331.0,F,10,3249827.0,0.6120039620570572
A2450525897_n01_LICRNA01_G10,G10,79,LIC127,plant,t11,12/15/23,8:00,LIC_02,LICRNA_01,1562145.0,243976.0,85134.0,138884.0,16444.0,G,10,1586806.0,0.9844587177008406
