,filename,plate.pos,arb.sort,sampID,sample.type,timepoint,date,time,extractplate,rnaprepplate
46,A2450525897_n01_LICRNA01_G06.fastq.gz,G06,47,LIC067,plant,t06,11/28/23,8:00,LIC_01,LICRNA_01
47,A2450525897_n01_LICRNA01_H06.fastq.gz,H06,48,LIC068,plant,t06,11/28/23,8:00,LIC_01,LICRNA_01
48,A2450525897_n01_LICRNA01_A07.fastq.gz,A07,49,LIC073,plant,t07,12/1/23,8:00,LIC_01,LICRNA_01
49,A2450525897_n01_LICRNA01_B07.fastq.gz,B07,50,LIC074,plant,t07,12/1/23,8:00,LIC_01,LICRNA_01
50,A2450525897_n01_LICRNA01_C07.fastq.gz,C07,51,LIC075,plant,t07,12/1/23,8:00,LIC_01,LICRNA_01
51,A2450525897_n01_LICRNA01_D07.fastq.gz,D07,52,LIC076,plant,t07,12/1/23,8:00,LIC_01,LICRNA_01
52,A2450525897_n01_LICRNA01_E07.fastq.gz,E07,53,LIC077,plant,t07,12/1/23,8:00,LIC_01,LICRNA_01
53,A2450525897_n01_LICRNA01_F07.fastq.gz,F07,54,LIC078,plant,t07,12/1/23,8:00,LIC_01,LICRNA_01
54,A2450525897_n01_LICRNA01_G07.fastq.gz,G07,55,LIC079,plant,t07,12/1/23,8:00,LIC_01,LICRNA_01
55,A2450525897_n01_LICRNA01_H07.fastq.gz,H07,56,LIC080,plant,t07,12/1/23,8:00,LIC_01,LICRNA_01
56,A2450525897_n01_LICRNA01_A08.fastq.gz,A08,57,LIC097,plant,t09,12/8/23,8:00,LIC_02,LICRNA_01
57,A2450525897_n01_LICRNA01_B08.fastq.gz,B08,58,LIC098,plant,t09,12/8/23,8:00,LIC_02,LICRNA_01
58,A2450525897_n01_LICRNA01_C08.fastq.gz,C08,59,LIC099,plant,t09,12/8/23,8:00,LIC_02,LICRNA_01
59,A2450525897_n01_LICRNA01_D08.fastq.gz,D08,60,LIC100,plant,t09,12/8/23,8:00,LIC_02,LICRNA_01
60,A2450525897_n01_LICRNA01_E08.fastq.gz,E08,61,LIC101,plant,t09,12/8/23,8:00,LIC_02,LICRNA_01
61,A2450525897_n01_LICRNA01_F08.fastq.gz,F08,62,LIC102,plant,t09,12/8/23,8:00,LIC_02,LICRNA_01
62,A2450525897_n01_LICRNA01_G08.fastq.gz,G08,63,LIC103,plant,t09,12/8/23,8:00,LIC_02,LICRNA_01
63,A2450525897_n01_LICRNA01_H08.fastq.gz,H08,64,LIC104,plant,t09,12/8/23,8:00,LIC_02,LICRNA_01
64,A2450525897_n01_LICRNA01_A09.fastq.gz,A09,65,LIC109,plant,t10,12/12/23,8:00,LIC_02,LICRNA_01
65,A2450525897_n01_LICRNA01_B09.fastq.gz,B09,66,LIC110,plant,t10,12/12/23,8:00,LIC_02,LICRNA_01
66,A2450525897_n01_LICRNA01_C09.fastq.gz,C09,67,LIC111,plant,t10,12/12/23,8:00,LIC_02,LICRNA_01
67,A2450525897_n01_LICRNA01_D09.fastq.gz,D09,68,LIC112,plant,t10,12/12/23,8:00,LIC_02,LICRNA_01
68,A2450525897_n01_LICRNA01_E09.fastq.gz,E09,69,LIC113,plant,t10,12/12/23,8:00,LIC_02,LICRNA_01
69,A2450525897_n01_LICRNA01_F09.fastq.gz,F09,70,LIC114,plant,t10,12/12/23,8:00,LIC_02,LICRNA_01
70,A2450525897_n01_LICRNA01_G09.fastq.gz,G09,71,LIC115,plant,t10,12/12/23,8:00,LIC_02,LICRNA_01
71,A2450525897_n01_LICRNA01_H09.fastq.gz,H09,72,LIC116,plant,t10,12/12/23,8:00,LIC_02,LICRNA_01
72,A2450525897_n01_LICRNA01_A10.fastq.gz,A10,73,LIC121,plant,t11,12/15/23,8:00,LIC_02,LICRNA_01
73,A2450525897_n01_LICRNA01_B10.fastq.gz,B10,74,LIC122,plant,t11,12/15/23,8:00,LIC_02,LICRNA_01
74,A2450525897_n01_LICRNA01_C10.fastq.gz,C10,75,LIC123,plant,t11,12/15/23,8:00,LIC_02,LICRNA_01
75,A2450525897_n01_LICRNA01_D10.fastq.gz,D10,76,LIC124,plant,t11,12/15/23,8:00,LIC_02,LICRNA_01
76,A2450525897_n01_LICRNA01_E10.fastq.gz,E10,77,LIC125,plant,t11,12/15/23,8:00,LIC_02,LICRNA_01
77,A2450525897_n01_LICRNA01_F10.fastq.gz,F10,78,LIC126,plant,t11,12/15/23,8:00,LIC_02,LICRNA_01
78,A2450525897_n01_LICRNA01_G10.fastq.gz,G10,79,LIC127,plant,t11,12/15/23,8:00,LIC_02,LICRNA_01
79,A2450525897_n01_LICRNA01_H10.fastq.gz,H10,80,LIC128,plant,t11,12/15/23,8:00,LIC_02,LICRNA_01
80,A2450525897_n01_LICRNA01_A11.fastq.gz,A11,81,LIC133,plant,t12,1/5/24,8:00,LIC_02,LICRNA_01
